time,OriginalLoad,LoadTSOM,LoadDSOM
7968,57695.75371617451,58340.41627218092,57678.21378039534
7969,54489.64843653105,54937.574375871925,54558.55469178147
7970,51454.83060600313,52430.437036201554,51418.30043244663
7971,50193.361452513695,51397.467200863975,50385.27462271251
7972,49858.70244042389,50884.34935192745,49887.270218421065
7973,49731.79251,50912.478013745094,49755.417565886426
7974,48782.08679,49878.95161269687,48810.66057212201
7975,48156.86447603923,48770.89569778094,48156.707539605966
7976,50600.66039240264,51178.00810665859,50574.64994338679
7977,54649.62906324815,55286.83162311284,54778.02601714337
7978,59058.97573693842,58816.12140876519,59105.73276763489
7979,62473.959425364555,61643.17057256488,62427.173909007804
7980,65557.6771377693,64923.54125633382,65540.99102926337
7981,65505.10525156636,64747.244869839444,65394.40303431555
7982,63861.49064821614,62997.18856287877,63848.3423282995
7983,62587.58511153655,61896.80970843895,62413.65805841937
7984,62704.88614622931,61637.565725993874,62924.92749164476
7985,65040.14476528102,63727.22360000468,64984.87425949231
7986,68401.14149159886,67549.60667604327,68361.95084680965
7987,69091.93864998868,68513.44974587281,68989.84131772895
7988,66744.24418325577,65758.9066160786,66691.00600820541
7989,64358.95695615374,64123.05031798844,64341.00443231028
7990,63527.68210880449,63610.8901501128,63547.20093200321
7991,63097.76953831561,63136.44551059459,63003.69311794974
7992,58480.95632455713,59651.88190236832,58510.42850614668
7993,53655.264440965795,55394.453839296664,53778.20227629208
7994,51531.14604071803,53415.003250170164,51635.56914096602
7995,51051.48750474256,52850.28936819514,51283.95638264091
7996,52152.41156215241,53377.2214840095,52329.21632923926
7997,54387.0463512259,55448.21452774258,54486.307257710316
7998,59300.36009279856,59379.19759281892,59463.3759132328
7999,69826.82998190486,70095.66263496774,69856.82107588419
8000,77958.97007326144,77508.28168005674,77788.83262374875
8001,80714.24603142848,79774.70963876235,80458.86998430816
8002,81035.33749828271,79779.87583819132,80912.61764040767
8003,82028.2874537737,81001.40309564007,81565.92583445263
8004,83841.49056310958,83266.19652044294,83748.97845658532
8005,82862.10761717265,82336.34084826946,82455.84187614243
8006,83091.61850908381,82764.19232491951,82987.56762828177
8007,81343.70912940596,81148.70968006417,81231.52137584437
8008,80713.11543142621,79821.2878106964,80998.34502681416
8009,81537.60706461282,81059.98723226128,81565.2031299799
8010,83641.65866190818,83197.47439764637,83668.04136339156
8011,82816.31740873473,82342.92912747918,82893.79668709022
8012,81138.22277593511,80594.24346665219,81241.35707388254
8013,77026.2216618951,76253.28080593888,77110.8512960384
8014,72657.57680252122,72507.59299000328,72710.20794695224
8015,68729.58118508168,68880.94168041638,68806.4606479461
8016,62272.99565545401,63116.11966295425,62335.742529763724
