id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
270;106;327;220;2.2122;0.414786;2;490;980;0.0375;0.2;5.53048
271;23;332;220;0.22096;0.0414298;2;490;980;0.0375;0.2;0.552398
272;58;330;380;4.4613;0.392054;1;1700;1700;0.029;0.33;13.5191
273;58;107;380;2.57134;0.225967;1;1700;1700;0.029;0.33;7.79195
274;106;333;220;2.1004;0.393825;1;490;490;0.075;0.4;5.251
275;107;334;380;0.1453148;0.0127701;2;1700;3400;0.0145;0.165;0.440348
276;106;335;220;2.3478;0.440212;1;490;490;0.075;0.4;5.86949
277;106;336;220;1.50488;0.282166;1;490;490;0.075;0.4;3.76221
278;108;335;220;2.69812;0.505898;1;490;490;0.075;0.4;6.74531
279;62;337;380;0.56502;0.0496532;2;1700;3400;0.0145;0.165;1.71218
280;108;106;220;4.94924;0.927983;1;490;490;0.075;0.4;12.3731
281;109;114;220;9.86276;2.88948;1;245;245;0.15;0.512;19.2632
282;110;67;220;3.43714;0.644464;1;490;490;0.075;0.4;8.59286
283;111;333;220;0.942792;0.1767736;2;490;980;0.0375;0.2;2.35698
284;113;52;380;0.345507;0.0303627;1;1700;1700;0.029;0.33;1.04699
285;81;338;220;7.8054;1.463512;2;490;980;0.0375;0.2;19.5135
286;81;339;220;2.0907;0.612509;1;245;245;0.15;0.512;4.08339
287;67;340;380;1.852986;0.1628382;2;1700;3400;0.0145;0.165;5.61511
288;114;202;220;10.2764;1.92682;1;490;490;0.075;0.4;25.6909
289;114;341;380;7.03451;0.618184;1;1700;1700;0.029;0.33;21.3167
290;112;53;380;19.6041;1.72279;1;1700;1700;0.029;0.33;59.4065
291;112;20;380;0.338306;0.02972992;4;1700;6800;0.00725;0.0825;1.02517
292;116;1;380;0.534382;0.0469609;1;1700;1700;0.029;0.33;1.61934
293;54;124;380;5.7223;0.502869;1;1700;1700;0.029;0.33;17.3403
294;54;119;380;35.2054;3.09381;1;1700;1700;0.029;0.33;106.683
295;117;54;380;13.5402;1.1899;1;1700;1700;0.029;0.33;41.031
296;118;342;220;21.40284;6.27036;3;245;735;0.05;0.170667;41.8024
297;120;119;380;36.3138;3.19122;2;1700;3400;0.0145;0.165;110.042
298;121;119;380;32.2142;2.83094;2;1700;3400;0.0145;0.165;97.6185
299;122;310;380;2.35669;0.207103;1;1700;1700;0.029;0.33;7.14147
300;23;343;220;13.1938;2.47384;1;490;490;0.075;0.4;32.9845
301;97;23;220;31.2625;5.86171;1;490;490;0.075;0.4;78.1562
302;123;115;380;13.70394;1.204286;2;1700;3400;0.0145;0.165;41.5271
303;123;210;380;4.36032;0.38318;2;1700;3400;0.0145;0.165;13.2131
304;53;157;220;11.7694;2.20676;5;490;2190;0.015;0.08;29.4235
305;89;249;380;17.9889;1.58084;1;1700;1700;0.029;0.33;54.5117
306;19;322;220;10.24844;1.921582;2;490;980;0.0375;0.2;25.6211
307;124;29;220;35.1852;6.59724;2;490;850;0.0375;0.2;87.9632
308;125;344;220;22.545;4.22718;1;490;490;0.075;0.4;56.3624
309;126;125;220;5.03864;0.944745;1;490;490;0.075;0.4;12.5966
310;127;126;220;18.2231;3.41683;1;490;490;0.075;0.4;45.5577
311;126;344;220;17.5805;3.29634;1;490;490;0.075;0.4;43.9512
312;128;229;220;21.994;6.44356;1;245;245;0.15;0.512;42.9571
313;3;1;380;15.0472;1.32233;1;1700;1700;0.029;0.33;45.5976
314;121;130;380;32.1556;2.82579;1;1700;1700;0.029;0.33;97.4412
315;129;345;220;5.69032;1.06693;1;490;490;0.075;0.4;14.2258
316;130;346;380;11.94454;1.049672;2;1700;3400;0.0145;0.165;36.1956
317;131;299;380;19.16356;1.68407;2;1700;3400;0.0145;0.165;58.0714
318;132;134;220;6.07236;1.13857;1;490;490;0.075;0.4;15.1809
