node;longitude;latitude;node_name;country
374;10,93672893;48,40130644;"Umspannwerk Lechhausen; Übernahmestation Lechhausen";DE
375;10,86376162;48,54682311;Umspannwerk Meitingen;DE
376;12,47724652;50,75312008;Crossen;DE
377;13,25555502;50,93017824;Freiberg/Nord (380 kV);DE
378;12,74744423;48,14875584;Umspannwerk Pirach;DE
379;11,81070255;50,18376553;Umspannwerk Mechlenreuth;DE
380;12,29688379;48,60690992;Isar;DE
381;8,953681213;49,56744317;Beerfelden;DE
382;10,73466943;51,44018676;Wolkramshausen (220 kV);DE
383;13,0025899;50,86591272;Niederwiesa;DE
384;12,24283692;50,56745317;Umspannwerk Herlasgrün;DE
385;13,31551585;52,52199937;Umspannwerk Charlottenburg;DE
386;11,32695268;49,39347312;Umspannwerk Ludersheim;DE
387;11,50773055;48,76112399;Ingolstadt;DE
388;11,58137052;48,76489405;Irsching;DE
389;7,500061734;51,53517409;Ratsbusch;DE
390;6,97593254;51,03760073;Station Dhünnaue;DE
391;8,562181934;49,13294994;Umspannwerk Bruchsal-Kändelweg;DE
392;7,942081286;47,65334155;Kavernenkraftwerk Wehr;DE
393;9,068791058;53,56664141;Alfstedt;DE
394;6,741376172;49,35749194;UA Dillinger Hütte Mitte;DE
395;6,749700094;49,36517637;UA Obergraben;DE
396;6,766015645;49,36007715;Station Saarwellingen;DE
397;12,15040162;49,01275181;Umspannwerk Regensburg;DE
398;7,591359841;51,92844167;Station Münster;DE
399;8,451544373;49,00740291;Karlsruhe-Rintheim;DE
400;8,99620818;52,37958799;KW Heyden;DE
401;9,377605776;48,81260686;EnBW Umspannwerk Endersbach;DE
402;9,076225436;49,36338696;Obrigheim;DE
403;10,19649157;50,0279724;Schweinfurt;DE
404;8,813994194;51,98343663;Umspannwerk Lage;DE
405;10,9729039;49,55850738;Kriegenbrunn;DE
406;7,175904389;51,47557825;UW Stahlwerk ThyssenKrupp Nirosta;DE
407;8,737572689;51,70016927;Umspannwerk Paderborn Süd;DE
408;10,64146771;53,91916269;Lübeck;DE
409;9,487895027;53,63655776;Götzdorf;DE
410;7,958491273;47,57914832;Kavernenkraftwerk Säckingen;DE
411;10,42038956;52,16520043;;DE
412;10,38847218;52,15136493;;DE
413;8,306262651;49,01282584;;DE
414;6,214015399;50,94389986;Kirchberg Süd;DE
415;11,28694383;47,49286246;Silz (AT) - Krün (DE) - Oberbrunn;DE
416;13,50533684;52,47477885;302 Marzahn - Thyrow;DE
417;8,53055555;47,91484818;ENGST-KUHMO-VILLI;DE
418;8,249750457;48,84917737;Daxlanden - Weier;DE
419;9,459677479;53,86465745;202;DE
420;11,42990658;50,91144646;415;DE
421;7,255017735;53,02671369;Emsland West;DE
422;7,371856394;52,19770665;;DE
423;13,39847083;53,79333188;316;DE
424;7,424745246;51,45925839;Schwerterheide Nord;DE
425;7,123360468;51,44734439;Oerkhaus West;DE
426;7,416582614;51,46078236;Witten West;DE
427;6,533036531;50,39224278;Selhausen West;DE
428;6,608792268;51,03467877;Neurath 2b;DE
429;6,720331675;51,34412358;Meerbusch West;DE
430;7,139374734;51,56083139;Hochlarmark West;DE
431;7,41946378;51,45751009;Haarstrang Ost;DE
432;7,17920262;51,42182448;Welper Ost;DE
433;7,343713344;51,61310494;Elmenhorst Süd;DE
434;6,522725489;51,32249547;Utfort West;DE
435;6,929092691;50,84415297;Godorf Ost;DE
436;7,09435791;50,82696709;Gremberghoven Ost;DE
437;6,650667414;51,55370227;Wesel Ost;DE
438;7,825990433;51,75006755;Uentrop Nord;DE
439;6,928979054;50,84381695;Olefin West;DE
440;7,834020743;51,75504035;Gersteinwerk Ost;DE
441;9,137947926;52,84702699;Leitung 2010/2023;DE
442;8,334667751;52,07052004;Halle West;DE
443;7,981878319;51,67665157;Geithe West;DE
444;9,85241625;51,89876525;Leitung 2030/2001;DE
445;9,413681221;52,02748289;Leitung 3019/3026/3027;DE
446;10,35521499;52,17581096;Leitung 2019/2027/2029;DE
447;10,70374228;47,82641598;K12;DE
448;10,64180254;48,02584927;;DE
449;8,670099217;49,30920228;HD-Neurott - Hüffenhardt;DE
450;9,231870023;51,81011909;;DE
451;10,23416297;48,52893204;Delmensingen - Niederstotzingen - Rotensohl;DE
452;8,743260529;50,16233798;Staudinger - Dörnigheim - Frankfurt Nord;DE
453;9,332230166;54,72102276;Audorf - Jardelund;DE
454;8,085650597;53,60583419;Voslapp;DE
455;9,101933;54,193285;Heide/West;DE
456;7,051379;51,625391;Polsum;DE
457;7,298604;53,563142;Halbemond;DE
458;7,835088;52,450547;Merzen/Neuenkirchen;DE
459;8,444003;53,243491;Elsfleth/West;DE
460;9,12565;52,811949;Mehringen (Grafschaft Hoya);DE
461;8,904632;54,792321;Klixbüll (Süd);DE
462;9,222506;53,901798;Büttel;DE
463;8,528034;50,098188;Farbwerke Höchst-Süd;DE
464;10,946784;54,284458;Göhl;DE
465;10,771568;53,908245;Siems;DE
466;10,211286;53,972274;Kreis Segeberg;DE
467;11,645959;51,415929;Schraplau/Obhausen;DE
468;8,05915;53,567405;Fedderwarden;DE
469;6,632797;50,853747;Punkt Blatzheim;DE
470;9,167879;47,685342;Kreis Konstanz;DE
471;12,451311;54,097612;Suchraum Gemeinden Sanitz/Dettmannsdorf;DE
472;13,292521;53,83934;Alt Tellin/Bartow;DE
473;11,723189;52,78907;Osterburg;DE
474;12,045315;53,241979;Putlitz;DE
475;9,109722;53,971944;Süderdonn;DE
476;9,078333;54,510833;Husum/Nord;DE
477;7,550436;50,367054;Punkt Metternich;DE
478;9,20233;48,5312;Punkt Rommelsbach;DE
479;10,0620505;48,3189795;Punkt Wullenstetten;DE
480;9,7896597;47,6729955;Punkt Niederwangen;DE
481;11,84747;53,416407;Parchim Süd;DE
482;8,7865593;48,9633781;Mast 115A (Ötisheim);DE
483;8,255525;47,63777;Gurtweil/Tiengen;DE
484;8,861525753;47,80643532;Beuren;DE
