hour,fuel,RD
7723,120.0,10.473618888317105
7723,220.0,0.0
7723,SolarPV,0.0
7723,Wind,0.0
7723,LostLoad,427.99208839727766
7724,60.0,49.049724536696246
7724,70.0,5090.706022550559
7724,100.0,701.0942564966531
7724,110.0,110.62233069364086
7724,130.0,67.03331599885625
7724,221.0,1895.1208205370917
7724,50.0,0.0
7724,80.0,860.0
7724,90.0,0.0
7724,140.0,0.0
7724,150.0,0.0
7724,0.0,0.0
7724,30.0,0.0
7724,40.0,0.0
7724,120.0,0.0
7724,220.0,0.0
7724,SolarPV,0.0
7724,Wind,0.0
7724,LostLoad,384.62516514570797
7725,60.0,489.2901106001338
7725,70.0,4430.883738556983
7725,100.0,577.5313228556438
7725,110.0,108.13015169120258
7725,130.0,52.65934686996503
7725,221.0,1796.8840816226927
7725,50.0,0.0
7725,80.0,828.3190127352859
7725,90.0,0.0
7725,140.0,0.0
7725,150.0,0.0
7725,0.0,0.0
7725,30.0,0.0
7725,40.0,0.0
7725,120.0,0.0
7725,220.0,0.0
7725,SolarPV,0.0
7725,Wind,0.0
7725,LostLoad,291.33588621367767
7726,60.0,0.0
7726,70.0,3431.054358404828
7726,100.0,551.7336413451251
7726,110.0,108.13015169120258
7726,130.0,52.65934686996503
7726,221.0,1738.8240560725565
7726,50.0,0.0
7726,80.0,743.1970612903544
7726,90.0,0.0
7726,140.0,0.0
7726,150.0,0.0
7726,0.0,0.0
7726,30.0,0.0
7726,40.0,0.0
7726,120.0,0.0
7726,220.0,0.0
7726,SolarPV,0.0
7726,Wind,0.0
7726,LostLoad,238.47955164778512
7727,60.0,609.5980210249801
7727,70.0,4135.447587040004
7727,100.0,480.6898969342717
7727,110.0,108.13015169120258
7727,130.0,52.65934686996503
7727,221.0,1721.7813984113825
7727,50.0,0.0
7727,80.0,725.0721971055984
7727,90.0,0.0
7727,140.0,0.0
7727,150.0,0.0
7727,0.0,0.0
7727,30.0,0.0
7727,40.0,0.0
7727,120.0,0.0
7727,220.0,0.0
7727,SolarPV,0.0
7727,Wind,0.0
7727,LostLoad,216.25726673858648
7728,60.0,29.504821790006226
7728,70.0,3351.397970044312
7728,100.0,456.95932219181583
7728,110.0,108.31885251419872
7728,130.0,52.65934686996503
7728,221.0,1597.5547444940676
7728,50.0,0.0
7728,80.0,600.4285763311632
7728,90.0,0.0
7728,140.0,0.0
7728,150.0,0.0
7728,0.0,0.0
7728,30.0,0.0
7728,40.0,0.0
7728,120.0,0.0
7728,220.0,0.0
7728,SolarPV,0.0
7728,Wind,0.0
7728,LostLoad,90.63810753029999
7729,60.0,0.0
7729,70.0,3676.1020992933727
7729,100.0,464.5840823909957
7729,110.0,108.13015169120258
7729,130.0,52.65934686996503
7729,221.0,1620.4658600163718
7729,50.0,0.0
7729,80.0,636.3371931215145
7729,90.0,0.0
7729,140.0,0.0
7729,150.0,0.0
7729,0.0,0.0
7729,30.0,0.0
7729,40.0,0.0
7729,120.0,0.0
7729,220.0,0.0
7729,SolarPV,0.0
7729,Wind,0.0
7729,LostLoad,133.61443648336692
7730,60.0,573.7728520121927
7730,70.0,3275.4233301856366
7730,100.0,374.7988909693865
7730,110.0,108.13015169120258
7730,130.0,52.65934686996503
7730,221.0,1526.666076266392
7730,50.0,312.0903447298709
7730,80.0,513.8038378815768
7730,90.0,0.0
7730,140.0,0.0
7730,150.0,0.0
7730,0.0,0.0
7730,30.0,0.0
7730,40.0,0.0
7730,120.0,0.0
7730,220.0,0.0
7730,SolarPV,0.0
7730,Wind,0.0
7730,LostLoad,0.0
7731,60.0,565.6031214615484
7731,70.0,2702.6707950720293
7731,100.0,321.5801759103601
7731,110.0,108.13015169120258
7731,130.0,52.65934686996503
7731,221.0,1384.544135200985
7731,50.0,757.364485251768
7731,80.0,438.51920142822996
7731,90.0,0.0
7731,140.0,0.0
7731,150.0,0.0
7731,0.0,0.0
7731,30.0,0.0
7731,40.0,0.0
7731,120.0,0.0
7731,220.0,0.0
7731,SolarPV,0.0
7731,Wind,0.0
7731,LostLoad,0.0
7732,60.0,489.9002206265879
7732,70.0,2657.4127210684705
7732,100.0,312.4701700103598
7732,110.0,108.13015169120258
7732,130.0,52.65934686996503
7732,221.0,1362.8748987414742
7732,50.0,260.9131471541613
7732,80.0,429.91889410667204
7732,90.0,0.0
7732,140.0,0.0
7732,150.0,0.0
7732,0.0,0.0
7732,30.0,0.0
7732,40.0,0.0
7732,120.0,0.0
7732,220.0,0.0
7732,SolarPV,0.0
7732,Wind,0.0
7732,LostLoad,0.0
7733,60.0,490.0990083105387
7733,70.0,2443.4092541411665
7733,100.0,328.53221544670413
7733,110.0,108.13015169120258
7733,130.0,52.65934686996503
7733,221.0,1468.8124848284413
7733,50.0,274.2280811663535
7733,80.0,476.3733878171852
7733,90.0,0.0
7733,140.0,0.0
7733,150.0,0.0
7733,0.0,0.0
7733,30.0,0.0
7733,40.0,0.0
7733,120.0,0.0
7733,220.0,0.0
7733,SolarPV,0.0
7733,Wind,0.0
7733,LostLoad,0.0
7734,60.0,0.0
7734,70.0,3468.0289920051455
7734,100.0,430.05610044196544
7734,110.0,108.13015169120258
7734,130.0,52.65934686996503
7734,221.0,1658.4253913717146
7734,50.0,0.0
7734,80.0,640.4523995986242
7734,90.0,0.0
7734,140.0,0.0
7734,150.0,0.0
7734,0.0,0.0
7734,30.0,0.0
7734,40.0,0.0
7734,120.0,0.0
7734,220.0,0.0
7734,SolarPV,0.0
7734,Wind,0.0
7734,LostLoad,128.81309710423272
7735,60.0,0.0
7735,70.0,5467.006992213786
7735,100.0,922.1656917379694
7735,110.0,110.62233069364086
7735,130.0,67.03331599885625
7735,221.0,2145.124216417961
7735,50.0,0.0
7735,80.0,860.0
7735,90.0,45.21924475549355
7735,140.0,0.0
7735,150.0,0.0
7735,0.0,0.0
7735,30.0,0.0
7735,40.0,0.0
7735,120.0,0.0
7735,220.0,0.0
7735,SolarPV,0.0
7735,Wind,0.0
7735,LostLoad,515.9305055779013
7736,60.0,0.0
7736,70.0,4594.291033628968
7736,100.0,1413.3511114771309
7736,110.0,114.02459940788027
7736,130.0,86.13955876745112
7736,221.0,2635.818263858037
7736,50.0,0.0
7736,80.0,934.7294996061498
7736,90.0,393.29129200876525
7736,140.0,0.0
7736,150.0,0.0
7736,0.0,0.0
7736,30.0,0.0
7736,40.0,0.0
7736,120.0,11.941656887178631
7736,220.0,0.0
7736,SolarPV,0.0
7736,Wind,0.0
7736,LostLoad,813.8914629185365
7737,60.0,0.0
7737,70.0,5438.174416433783
7737,100.0,1465.220997665776
7737,110.0,201.14546329646538
7737,130.0,86.13955876745112
7737,221.0,2825.3830984117676
7737,50.0,0.0
7737,80.0,1062.6330622630255
7737,90.0,706.5580476060411
7737,140.0,0.0
7737,150.0,0.0
7737,0.0,0.0
7737,30.0,0.0
7737,40.0,0.0
7737,120.0,23.791338303132903
7737,220.0,0.0
7737,SolarPV,0.0
7737,Wind,0.0
7737,LostLoad,920.0606254392725
7738,60.0,0.0
